Код,RegionName,ВёскаЗапісу,Широта,Долгота
939,Брестская,Альшаны,52.0766,27.3406
940,Брестская,Рухча,51.9929,26.6223
941,Брестская,Кастрова,51.98616,26.54892
942,Минская,Рудня Астравітая,53.72971,28.27244
943,Витебская,Шаркаўшчына г.п.,55.3683555,27.4649402
944,Витебская,Мишневичи,55.4414,29.5965
945,Витебская,Роўнае,55.48994,29.36257
946,Могилевская,Красная Горка,53.96124,31.81158
947,Гомельская,Балсуны,53.06811,31.28990
948,Минская,Навасёлкі,53.846861,29.058472
949,Гомельская,Прыбор,52.409739,30.762704
950,Могилевская,Бялынічы,53.9936,29.7081
956,Брестская,Амяліна,52.22930,23.78011
957,Брестская,Заказанка,51.9701,23.6837
958,Брестская,Прылукі,51.9877,23.7018
959,Брестская,Сабалі,52.4130,24.8295
960,Брестская,Ціхны,52.4989,24.8898
961,Брестская,Бусні,52.1442,24.1168
962,Брестская,Доўгая,52.52944,25.72841
963,Брестская,Квасевічы,52.7525,25.0696
964,Брестская,Пяркі,52.1832,24.1974
965,Брестская,Камень,52.3206,26.3821
966,Брестская,Сушыцк,52.1764,26.3157
967,Брестская,Смаляніца,52.7057,24.6383
968,Брестская,Відзібар,51.9870,26.7660
969,Брестская,Струга,51.8504,26.8914
970,Брестская,В. Малешава,52.0693,27.5072
971,Брестская,Баландичи,51.9748,25.5092
972,Брестская,Кривица, 52.25036,25.47449
973,Брестская,Корсынь,51.96989,25.30681
974,Минская,Красное,54.27514,27.04128
975,Минская,Утеха,54.60636,28.62687
976,Минская,Лысая Гора,53.757000,28.32590
977,Минская,Бобр,54.3190,29.2642
978,Минская,Лошанцы,54.3779,28.9958
979,Гомельская,Макановичи,52.1416,29.9158
980,Гомельская,Заспа,52.25727,30.49848
981,Гомельская,Свиридовичи,52.21294,30.46687
982,Гомельская,Василевичи,52.2421,29.8327
983,Минская,Колки,52.8335,26.9234
984,Минская,Малева,53.1991,26.5713
985,Минская,Малевщина,53.329236,26.518467
986,Гомельская,Малиновка,52.0231,30.4591
987,Гомельская,Усохская Буда,52.13655,31.53293
988,Гомельская,Плутовка (Красный Партизан,52.2452,31.6752
989,Гомельская,Карма,52.3454,31.5124
990,Гомельская,Ленина,52.172714,31.674953
994,Гомельская,Адамовка,52.23591,30.45643
995,Брестская,Бастынь,52.3942,26.7572
996,Гомельская,Жуки,51.7366,28.9603
997,Гомельская,Загатье,51.7608,28.9066
998,Брестская,Заозёрная,51.67708,23.92069
999,Гомельская,Избынь,52.1117,30.0131
1000,Гомельская,Луки,52.47792,28.01520
1001,Гомельская,Лутовье,52.47783,28.01518
1002,Брестская,Осовая,51.8340,24.2161
1003,Брестская,Рубель,51.9748,27.0643
1011,Гомельская,Баршчоўка,52.216667,31.566667
1012,Могилевская,Запрудье,54.2739,31.1893
1013,Могилевская,Коровчино,54.0478,30.8271
1015,Могилевская,Лабковічы,53.8313,31.7509
1016,Могилевская,Касцюшкавічы,53.69993,31.58722
1017,Могилевская,Сакольнічы,53.6638,31.6631
1018,Могилевская,Ходасы,53.9298,31.4842
1019,Могилевская,Ліпаўка,53.4153,32.6996
1020,Могилевская,Речица,53.6277,31.5419
1021,Могилевская,Вусце,53.6072,31.5372
1022,Витебская,Антоново,55.3113,27.4301
1023,Могилевская,Удога,53.6738,31.3850
1024,Могилевская,Норки,53.71015,31.30892
1026,Минская,Тройчаны,52.7693,28.3408
1027,Гродненская,Докудово,53.80817,25.51148
1028,Минская,Зубки,53.0792,26.7553
1029,Брестская,Заказанка,51.96992,23.68345
1030,Витебская,Зароново,55.30092,29.89090
1031,Минская,Междуречье,53.98738,26.94672
1032,Гомельская,Брагін г.,51.7884,30.2654
1033,Витебская,Кашталяновщина,55.22133,27.63901
1034,Минская,Мясота,54.28515,27.04391
1035,Минская,Колодино,54.78295,26.79042
1036,Витебская,Вятеро,54.73266,29.39409
1037,Витебская,Камень,55.0155,28.8868
1038,Витебская,Ула,55.22457,29.24151
1039,Гомельская,Глинище,51.9359,29.6619
1040,Минская,Слобода,54.71124,27.57121
1041,Гомельская,Селец,51.8258,30.3303
1042,Гомельская,Заречье,51.7764,30.3660
1043,Минская,Межная Слобода,52.9408,26.5852
1044,Минская,Черемшицы,54.7799,26.8352
1045,Брестская,Хомск,52.33217,25.22435
1046,Брестская,Лядавічы,52.31824,25.39506
1047,Брестская,Корачын,52.5585,25.3406
1048,Брестская,Варанілавічы,52.8081,24.9336
1049,Витебская,Берешево,55.0144,29.8185
1050,Гомельская,Дублин,51.73430,30.32565
1051,Гомельская,Жиличи,51.69670,30.53712
1052,Минская,Любовши,54.67716,26.88532
1053,Гомельская,Колыбань,51.4702,30.3867
1054,Гомельская,Ивановка,52.6564,30.4560
1055,Минская,Сергеевичи,53.49602,27.74987
1056,Витебская,Бочейково,55.0170,29.1495
1057,Витебская,Межево,54.6230,30.3084
1058,Гомельская,Стрешин,52.7306,30.1048
1059,Гомельская,Завидовка,52.1647,31.7603
1060,Витебская,Новые Волосовичи,54.759,28.8435
1061,Брестская,Старое Роматово,51.8968,23.9746
1062,Брестская,Новое Роматово,51.90585,23.99755
1063,Могилевская,Дашковка,53.7356,30.2607
1064,Могилевская,Кныши,53.01640,28.78506
1065,Могилевская,Горы,54.26660,31.20477
1066,Могилевская,Паршино,54.2355,31.0568
1067,Могилевская,Сава,54.36405,30.81556
1068,Могилевская,Большие Шарипы,54.37201,30.89380
1069,Могилевская,Поташи,54.42596,30.91993
1071,Могилевская,Заровье (Городец),54.21183,30.41108
1072,Могилевская,Кривель,54.14796,30.41351
1074,Могилевская,Ржавцы,54.23985,30.30869
1075,Гомельская,Грабье,52.5597,29.0098
1076,Могилевская,Паршино,54.2357,31.0565
1078,Минская,Саска Липка, 53.2300,26.5801
1079,Могилевская,Мушино,53.9164,31.6349
1080,Могилевская,Черный Бор,53.63233,29.98015
1081,Могилевская,Хутор,53.5359,30.1595
1082,Могилевская,Вьюн,53.4651,30.0481
1083,Могилевская,Быново,53.6669,30.4784
1085,Витебская,Макаранки,55.11122,30.97711
1086,Витебская,Перевоз,55.92484,29.39883
1087,Витебская,Заборье,55.9169,29.3174
1088,Гомельская,Круговка,52.5726,31.5522
1089,Гомельская,Лески,52.62341,28.91443
1090,Гомельская,Михалевка,51.5113,30.2641
1097,Витебская,Морозовка,54.77951,29.79405
1099,Витебская,Большой Озерецк,54.7764,29.4645
1101,Гомельская,Карловка,51.4110,30.5136
1102,Гомельская,Бурки,51.8087,30.1804
1103,Гомельская,Дубровное,51.79780,30.10639
1104,Гомельская,Острогляды,51.783181,30.1419082
1105,Гомельская,Новая Гута,52.72081,30.85399
1106,Гомельская,Посудово,51.4542,30.3205
1107,Гомельская,Моложин,51.7409002,30.5079306
1108,Гомельская,Городок,52.0600,30.7148
1109,Гомельская,Ястребовка,52.0168,30.5315
1110,Гомельская,Димамерки,51.8517,30.4773
1111,Гомельская,Гадичево,52.1028617,31.1986245
1112,Гомельская,Дерновичи,51.6046,29.7318
1113,Гомельская,Красное,52.4707,30.9240
1115,Гомельская,Маковье,52.1572,31.2560
1116,Гомельская,Марковичи,52.11573,31.20692
1117,Гомельская,Круговец,52.1706308,31.6892142
1120,Гомельская,Вулкан,52.01262,30.45967
1121,Гомельская,Дуброва,52.4175,29.9578
1122,Гомельская,Защебье,52.1772,29.8762
1123,Гомельская,Лиски,52.3127,30.1032
1124,Гомельская,Короватичи,52.2348,30.1087
1125,Гомельская,Андреевка,52.19115,30.29366
1126,Гомельская,Красная Дуброва,52.27673,30.08147
1127,Гомельская,Ровенская Слобода,52.2284,30.3168
1128,Гомельская,Демяхи,52.32712,30.20290
1129,Гомельская,Будка,52.25429,30.19406
1131,Гомельская,Носовичи,52.2775,31.273611
1132,Гомельская,Крупейки,51.91484,30.72728
1133,Гомельская,Сосновка,52.36990,30.84142
1135,Гомельская,Копоткевичи,52.3149,28.8074
1136,Могилевская,Машковка,54.1404,30.9061
