"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
36881,237,"UKR","Ukraine",3,"Chernivtsi",58,"Vyzhnyts'kyi","","Vyzhnytskyi","Raion","District"
36882,237,"UKR","Ukraine",3,"Chernivtsi",59,"Zastavnets'kyi","","Zastavnenskyi","Raion","District"
36883,237,"UKR","Ukraine",4,"Crimea",60,"Alushtyns'ka","","Alushta","Mis'ka Rada","Mis'ka Rada"
36884,237,"UKR","Ukraine",4,"Crimea",61,"Bakhchysarais'kyi","","Baghchasaray","Raion","District"
36885,237,"UKR","Ukraine",4,"Crimea",62,"Bilohirs'kyi","","Belogorskiy","Raion","Raion"
36886,237,"UKR","Ukraine",4,"Crimea",63,"Chornomors'kyi","","Chornomorskiy","Raion","Raion"
36887,237,"UKR","Ukraine",4,"Crimea",64,"Dzhankois'ka","","Dzhankoy","Misto","City"
36888,237,"UKR","Ukraine",4,"Crimea",65,"Dzhankois'kyi","","","Raion","Raion"
36889,237,"UKR","Ukraine",4,"Crimea",66,"Feodosiis'ka","","Feodosiya","Misto","City"
36890,237,"UKR","Ukraine",4,"Crimea",67,"Ialtyns'ka","","Yalta","Misto","City"
36891,237,"UKR","Ukraine",4,"Crimea",68,"Ievpatoriis'ka","","","Misto","City"
36892,237,"UKR","Ukraine",4,"Crimea",69,"Kerchens'ka","","Kerch","Misto","City"
36893,237,"UKR","Ukraine",4,"Crimea",70,"Kirovs'kyi","","Kirovskiy","Raion","Raion"
36894,237,"UKR","Ukraine",4,"Crimea",71,"Krasnohvardiis'kyi","","Krasnohvardiyske","Raion","Raion"
36895,237,"UKR","Ukraine",5,"Dnipropetrovs'k",113,"Verkhn'odniprovs'kyi","","Verhnyodniprovsky","Raion","District"
36896,237,"UKR","Ukraine",5,"Dnipropetrovs'k",114,"Zhovtovods'ka","","ZhovtiVody","Mis'ka Rada","Mis'ka Rada"
36897,237,"UKR","Ukraine",6,"Donets'k",115,"Amvrosi‹vs'kyi","","Amvrosiivskyi","Raion","District"
36898,237,"UKR","Ukraine",6,"Donets'k",116,"Artemivs'ka","","","Mis'ka Rada","Mis'ka Rada"
36899,237,"UKR","Ukraine",6,"Donets'k",117,"Artemivs'kyi","","Artemivskyi","Raion","District"
36900,237,"UKR","Ukraine",6,"Donets'k",118,"Dobropil's'ka","","Dobropillia","Mis'ka Rada","Mis'ka Rada"
36901,237,"UKR","Ukraine",6,"Donets'k",119,"Dobropil's'kyi","","Dobropolskyi","Raion","District"
36902,237,"UKR","Ukraine",6,"Donets'k",120,"Donets'ka","","Donetsk","Mis'ka Rada","Mis'ka Rada"
36903,237,"UKR","Ukraine",6,"Donets'k",121,"Dzerzhyns'ka","","Dzerzhinsk-Don","Mis'ka Rada","Mis'ka Rada"
